Radio sources: 40/472; entries=4347; failures=15
Radio sources: 80/472; entries=4347; failures=55
Radio sources: 120/472; entries=4347; failures=95
Radio sources: 160/472; entries=4347; failures=135
Radio sources: 200/472; entries=4347; failures=175
Radio sources: 240/472; entries=4347; failures=215
Radio sources: 280/472; entries=4347; failures=255
Radio sources: 320/472; entries=4347; failures=295
Radio sources: 360/472; entries=4347; failures=335
Radio sources: 400/472; entries=4347; failures=375
Radio sources: 440/472; entries=5015; failures=390
Radio collection complete 5015 failures 422
